Format Version,1.23,Take Name,Take 2019-05-30 01.08.46 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-05-30 01.17.24.067 PM,Total Frames in Take,25912,Total Exported Frames,25912,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
132,1.100000,-0.003212,0.744669,-0.557334,0.367202,38.099117,12.642129,499.485413
133,1.108333,-0.021617,0.776646,-0.509337,0.370041,38.357372,13.065171,499.065125
134,1.116667,-0.020967,0.776828,-0.510765,0.367719,38.295841,13.143412,499.099792
135,1.125000,-0.017554,0.771065,-0.521435,0.365043,38.199890,13.130881,499.216187
136,1.133333,-0.015598,0.769018,-0.528967,0.358554,38.054810,13.108301,499.225708
137,1.141667,-0.016052,0.769982,-0.528985,0.356435,38.002560,13.134471,499.207581
138,1.150000,-0.016628,0.770967,-0.529480,0.353532,37.939323,13.154693,499.192230
139,1.158333,-0.014170,0.769943,-0.540588,0.338751,37.782551,13.153878,499.131439
140,1.166667,0.004503,0.766521,-0.541515,0.345235,37.645763,13.066194,499.138702
141,1.175000,-0.024528,0.776066,-0.515960,0.361808,38.112171,13.080322,498.988281
142,1.183333,-0.026090,0.776395,-0.513956,0.363840,38.185444,13.064572,498.984619
143,1.191667,-0.007812,0.766728,-0.533217,0.357417,37.957333,12.966734,499.126099
144,1.200000,-0.009836,0.761997,-0.536935,0.361890,38.066143,12.982088,499.235962
145,1.208333,-0.010220,0.752706,-0.544633,0.369735,38.164768,13.021514,499.450256
146,1.216667,-0.007992,0.754040,-0.543867,0.368197,38.170147,13.149910,499.573334
147,1.225000,-0.009428,0.766003,-0.529215,0.364805,38.233753,13.226109,499.436432
148,1.233333,-0.007214,0.763783,-0.531616,0.366017,38.227383,13.299222,499.598419
149,1.241667,,,,,,,
150,1.250000,-0.013615,0.774677,-0.515574,0.365888,38.225479,13.899404,499.846985
151,1.258333,-0.016841,0.774532,-0.513033,0.369614,38.131332,14.052927,499.931091
152,1.266667,-0.008371,0.779916,-0.515719,0.354535,37.658398,14.305009,500.114777
153,1.275000,-0.016360,0.779223,-0.503866,0.372375,37.866489,14.715955,500.180725
154,1.283333,-0.016010,0.786925,-0.491023,0.373349,37.668846,15.129375,500.276703
155,1.291667,-0.005273,0.784492,-0.507367,0.356542,37.165306,15.334747,500.481598
156,1.300000,-0.012280,0.783831,-0.495821,0.373659,37.357723,15.720567,500.605835
157,1.308333,-0.008898,0.788357,-0.491105,0.370446,37.151596,16.138046,500.763092
158,1.316667,-0.004499,0.793082,-0.487411,0.365282,37.017262,16.485254,500.848236
159,1.325000,-0.002862,0.793872,-0.487407,0.363584,37.094746,16.884678,500.867889
160,1.333333,-0.005826,0.787799,-0.495113,0.366337,37.227146,16.946793,501.034607
161,1.341667,-0.003293,0.787760,-0.498732,0.361511,37.137611,17.065582,501.139587
162,1.350000,-0.001323,0.786544,-0.498733,0.364161,37.215363,16.985647,501.056519
163,1.358333,0.001353,0.776986,-0.512268,0.365886,37.133038,17.023424,501.328186
164,1.366667,-0.003379,0.786892,-0.487569,0.378240,37.337490,17.143461,501.045502
165,1.375000,0.003029,0.787327,-0.491555,0.372131,37.142048,17.181133,501.134674
166,1.383333,,,,,,,
167,1.391667,,,,,,,
168,1.400000,-0.015483,0.774795,-0.510075,0.373196,36.881546,17.029875,501.658112
169,1.408333,0.024023,0.768071,-0.508628,0.388314,36.799915,17.111851,501.524628
170,1.416667,0.006152,0.773174,-0.500260,0.389748,37.202637,17.322403,501.408997
171,1.425000,0.004975,0.776320,-0.496802,0.387930,37.337429,17.228579,501.402100
172,1.433333,0.007275,0.774585,-0.495284,0.393268,37.616917,17.104218,501.381622
173,1.441667,0.007749,0.770938,-0.500115,0.394309,37.843468,16.853920,501.320465
174,1.450000,0.015401,0.765121,-0.492852,0.414064,38.026024,16.409788,501.383362
175,1.458333,0.016011,0.756007,-0.502489,0.419168,38.248787,16.107153,501.343811
176,1.466667,0.015346,0.754196,-0.501942,0.423092,38.196842,16.029375,501.410522
